timestamp, power.draw [W]
2026/09/01 22:55:16.950, 48.22 W
2026/09/01 22:55:17.950, 47.67 W
2026/09/01 22:55:18.950, 49.06 W
2026/09/01 22:55:19.951, 46.73 W
2026/09/01 22:55:20.951, 48.83 W
2026/09/01 22:55:21.952, 46.75 W
2026/09/01 22:55:22.952, 48.99 W
2026/09/01 22:55:23.952, 47.37 W
2026/09/01 22:55:24.952, 48.17 W
2026/09/01 22:55:25.952, 48.40 W
2026/09/01 22:55:26.953, 47.23 W
2026/09/01 22:55:27.953, 49.07 W
2026/09/01 22:55:28.953, 47.11 W
2026/09/01 22:55:29.953, 49.06 W
2026/09/01 22:55:30.953, 47.06 W
2026/09/01 22:55:31.954, 49.01 W
2026/09/01 22:55:32.954, 47.62 W
2026/09/01 22:55:33.955, 48.33 W
2026/09/01 22:55:34.955, 48.80 W
2026/09/01 22:55:35.955, 46.96 W
2026/09/01 22:55:36.956, 48.83 W
2026/09/01 22:55:37.956, 46.98 W
2026/09/01 22:55:38.956, 49.06 W
2026/09/01 22:55:39.956, 47.01 W
2026/09/01 22:55:40.957, 48.80 W
2026/09/01 22:55:41.957, 47.83 W
2026/09/01 22:55:42.957, 47.95 W
2026/09/01 22:55:43.957, 49.00 W
2026/09/01 22:55:44.958, 46.96 W
2026/09/01 22:55:45.958, 49.05 W
2026/09/01 22:55:46.958, 46.81 W
2026/09/01 22:55:47.958, 49.01 W
2026/09/01 22:55:48.959, 46.98 W
2026/09/01 22:55:49.959, 48.44 W
2026/09/01 22:55:50.959, 48.09 W
2026/09/01 22:55:51.959, 47.10 W
2026/09/01 22:55:52.959, 48.87 W
2026/09/01 22:55:53.959, 46.69 W
2026/09/01 22:55:54.960, 48.88 W
2026/09/01 22:55:55.960, 46.49 W
2026/09/01 22:55:56.960, 49.03 W
2026/09/01 22:55:57.960, 47.36 W
2026/09/01 22:55:58.961, 48.20 W
2026/09/01 22:55:59.961, 48.39 W
2026/09/01 22:56:00.961, 47.01 W
2026/09/01 22:56:01.961, 48.98 W
2026/09/01 22:56:02.961, 46.79 W
2026/09/01 22:56:03.961, 48.88 W
2026/09/01 22:56:04.962, 46.87 W
2026/09/01 22:56:05.962, 48.88 W
2026/09/01 22:56:06.962, 47.43 W
2026/09/01 22:56:07.962, 47.58 W
2026/09/01 22:56:08.962, 48.49 W
2026/09/01 22:56:09.963, 46.97 W
2026/09/01 22:56:10.963, 49.04 W
2026/09/01 22:56:11.964, 46.77 W
2026/09/01 22:56:12.964, 49.05 W
2026/09/01 22:56:13.965, 46.78 W
2026/09/01 22:56:14.965, 48.70 W
2026/09/01 22:56:15.965, 47.93 W
2026/09/01 22:56:16.965, 47.51 W
2026/09/01 22:56:17.966, 48.95 W
2026/09/01 22:56:18.966, 47.00 W
2026/09/01 22:56:19.966, 48.95 W
2026/09/01 22:56:20.966, 46.71 W
2026/09/01 22:56:21.967, 48.96 W
2026/09/01 22:56:22.967, 47.10 W
2026/09/01 22:56:23.967, 48.55 W
2026/09/01 22:56:24.967, 48.10 W
2026/09/01 22:56:25.967, 47.26 W
2026/09/01 22:56:26.968, 48.96 W
2026/09/01 22:56:27.968, 45.96 W
2026/09/01 22:56:28.969, 45.71 W
2026/09/01 22:56:29.971, 46.00 W
2026/09/01 22:56:30.972, 46.27 W
2026/09/01 22:56:31.972, 46.07 W
2026/09/01 22:56:32.972, 46.25 W
2026/09/01 22:56:33.973, 46.13 W
2026/09/01 22:56:34.973, 46.23 W
2026/09/01 22:56:35.973, 46.16 W
2026/09/01 22:56:36.974, 46.37 W
2026/09/01 22:56:37.974, 46.19 W
2026/09/01 22:56:38.975, 45.98 W
2026/09/01 22:56:39.975, 45.67 W
2026/09/01 22:56:40.975, 48.46 W
2026/09/01 22:56:41.975, 62.91 W
2026/09/01 22:56:42.976, 62.01 W
2026/09/01 22:56:43.977, 63.41 W
2026/09/01 22:56:44.977, 63.16 W
2026/09/01 22:56:45.977, 59.52 W
2026/09/01 22:56:46.978, 60.58 W
2026/09/01 22:56:47.978, 60.45 W
2026/09/01 22:56:48.978, 59.99 W
2026/09/01 22:56:49.978, 60.87 W
2026/09/01 22:56:50.979, 61.43 W
2026/09/01 22:56:51.979, 58.71 W
2026/09/01 22:56:52.979, 56.58 W
2026/09/01 22:56:53.980, 56.86 W
2026/09/01 22:56:54.980, 56.80 W
2026/09/01 22:56:55.980, 56.49 W
2026/09/01 22:56:56.981, 56.97 W
2026/09/01 22:56:57.981, 57.01 W
2026/09/01 22:56:58.981, 56.86 W
2026/09/01 22:56:59.981, 56.78 W
2026/09/01 22:57:00.982, 56.72 W
2026/09/01 22:57:01.982, 57.57 W
2026/09/01 22:57:02.982, 57.49 W
